,Shape_type,Latitude,r_pl,l_pl,t_pl,V_pl,S_pl,V_T,Shape_factor,Density,time_length
4504,fiber,13.7,5.593774696380996e-06,4.4e-05,0.00588283,7.331680305491594e-16,7.033489711260892e-10,7.331680305491594e-16,0.30465338425739946,929,500
4505,film,13.7,6.277325283076598e-05,0.011438,7.781e-05,1.0361258544291666e-12,5.8461635384992294e-08,1.0361258544291666e-12,0.5989260099061147,929,500
4506,sphere,13.7,5.3394740564636156e-05,0.01009,0.00579191,6.376524774637931e-13,3.5826701509593055e-08,6.376524774637931e-13,0.8,869,500
4507,film,13.7,0.00013623638540399062,8.2e-05,0.00487941,1.0591755495747945e-11,8.102254601936679e-07,1.0591755495747945e-11,0.2035519208508164,929,500
4508,film,13.7,6.9310365024564464e-06,0.00018099999999999998,0.00011302,1.3947076002316306e-15,1.4321021771481454e-09,1.3947076002316306e-15,0.2980692901867918,935,500
4509,sphere,13.7,3.9772166015135624e-05,0.002392,0.00689251,2.6352774146974573e-13,1.987780157883215e-08,2.6352774146974573e-13,0.9,899,500
4510,film,13.7,6.588804791246983e-05,0.00036199999999999996,8.424e-05,1.1981426600086387e-12,6.405973713512296e-08,1.1981426600086387e-12,0.6021753801206077,916,500
4511,sphere,13.7,6.852023106333036e-05,0.012822,0.00823912,1.347550550382332e-12,5.899938731103436e-08,1.347550550382332e-12,0.9,905,500
4512,film,13.7,0.0002289803569916541,0.000551,0.00027526,5.029019199709762e-11,7.824801961225808e-07,5.029019199709762e-11,0.5954125270949813,944,500
4513,fiber,13.7,3.1747047726655696e-05,8.7e-05,0.00602494,1.340289588473377e-13,1.826722552025033e-08,1.340289588473377e-13,0.6989148610054575,895,500
4514,sphere,13.7,3.900793924526146e-06,0.011184999999999999,0.0071091900000000005,2.486266234158831e-16,1.9121232361390533e-10,2.486266234158831e-16,0.8,852,500
4515,film,13.7,0.00013291115220395245,0.012372999999999999,0.00033407,9.834966343158728e-12,2.6207331362458967e-07,9.834966343158728e-12,0.5989559894092741,970,500
4516,fiber,13.7,3.089512102811151e-05,2.7e-05,0.00975716,1.2352598107734095e-13,2.477404509574855e-08,1.2352598107734095e-13,0.5978420646137949,958,500
4517,fiber,13.7,5.177252663720836e-05,0.000597,0.0035647400000000003,5.81281752649885e-13,6.993139728797379e-08,5.81281752649885e-13,0.2013877955016028,942,500
4518,fiber,13.7,0.00019844971861812143,0.0007149999999999999,0.00090668,3.27370899487818e-11,7.254924914533769e-07,3.27370899487818e-11,0.6011104239694749,971,500
4519,film,13.7,0.0002047841437059764,0.012447,0.00024987,3.5973077120566885e-11,6.240206236741512e-07,3.5973077120566885e-11,0.5971570665396271,968,500
4520,film,13.7,5.064380594984408e-05,0.001194,0.00042922,5.440860830928691e-13,5.6707711478598005e-08,5.440860830928691e-13,0.4018883502265021,961,500
4521,sphere,13.7,0.00011306621209857533,0.010124,0.0013982,6.054623439105927e-12,1.6064808381023538e-07,6.054623439105927e-12,0.9,883,500
4522,film,13.7,3.7847966671050205e-05,0.000112,0.0005991,2.2709954657096438e-13,4.210691808985814e-08,2.2709954657096438e-13,0.3022919039090782,971,500
4523,fiber,13.7,0.00012591765020566684,0.000345,0.0007864500000000001,8.362737041253364e-12,2.8736880837795216e-07,8.362737041253364e-12,0.698973877653002,857,500
4524,sphere,13.7,0.000132555636650195,0.012712999999999999,0.00639096,9.756256484740963e-12,2.2080365794976422e-07,9.756256484740963e-12,0.9,873,500
4525,sphere,13.7,6.62791762336955e-05,0.0008629999999999999,0.00482852,1.219607019924776e-12,5.5203176437703354e-08,1.219607019924776e-12,0.9,931,500
4526,film,13.7,0.00020155736432485118,0.003721,0.00097741,3.429924980566213e-11,7.192451301685507e-07,3.429924980566213e-11,0.5018977831232095,889,500
4527,film,13.7,0.00012506004942897266,0.009200999999999999,0.00032289,8.193027211625239e-12,2.33076546314765e-07,8.193027211625239e-12,0.5962569908813011,996,500
4528,film,13.7,0.0001249164137487101,0.004493,0.00032066,8.164829718837192e-12,2.3230995325305377e-07,8.164829718837192e-12,0.5968511895114148,905,500
4529,film,13.7,7.168821846935886e-05,0.007532,0.00035658,1.5432346744991671e-12,9.18128696791278e-08,1.5432346744991671e-12,0.4973783531734384,922,500
4530,sphere,13.7,0.00010717923287391091,0.001046,0.00192384,5.157277997148092e-12,1.443547744892505e-07,5.157277997148092e-12,0.9,903,500
4531,film,13.7,1.1864373928808407e-05,0.002431,3.009e-05,6.9955696822194e-15,2.091377145872614e-09,6.9955696822194e-15,0.598070195468587,858,500
4532,fiber,13.7,8.067462451797482e-06,3.7e-05,0.00759126,2.1993759287075447e-15,1.2490133694089058e-09,2.1993759287075447e-15,0.5035824011445511,887,500
4533,fiber,13.7,0.000127506726198001,0.000763,0.00041695,8.683361761823466e-12,3.3406561336140407e-07,8.683361761823466e-12,0.3990718139311394,980,500
