,Shape_type,Latitude,r_pl,l_pl,t_pl,V_pl,S_pl,V_T,Shape_factor,Density,time_length
57,fiber,13.5,6.235717107434752e-05,0.000227,0.00158408,1.0156587700951243e-12,7.172302932212871e-08,1.0156587700951243e-12,0.59703890169422,963,500
58,sphere,13.5,5.9761994181674905e-06,0.011448999999999999,0.00796261,8.940542088603108e-16,4.4880741737419736e-10,8.940542088603108e-16,0.9,922,500
59,sphere,13.5,1.1548028311538576e-05,0.008582,0.00841388,6.450778489893792e-15,1.675812956775044e-09,6.450778489893792e-15,0.8,995,500
60,film,13.5,0.00010202854956875988,0.001751,0.00088707,4.448911305942419e-12,2.327257219473857e-07,4.448911305942419e-12,0.3974604368683069,969,500
61,fiber,13.5,0.00022717615493160497,0.002647,0.00062458,4.9110781279849784e-11,1.3523296514986454e-06,4.9110781279849784e-11,0.19904669215922888,945,500
62,sphere,13.5,0.0001255658562516538,0.01227,0.00275769,8.29284020131718e-12,1.9813125436019055e-07,8.29284020131718e-12,0.8,937,500
63,fiber,13.5,6.716350961925386e-06,3.9999999999999996e-05,0.00532508,1.2690792856433228e-15,9.255998752471614e-10,1.2690792856433228e-15,0.40084967401943994,921,500
64,sphere,13.5,9.392050934607589e-05,0.002721,0.00921075,3.4703232252384497e-12,1.1084873525710209e-07,3.4703232252384497e-12,0.8,882,500
65,film,13.5,1.3003782927014228e-05,0.004422,3.101e-05,9.210808282976747e-15,2.488598023940235e-09,9.210808282976747e-15,0.603781131022814,997,500
66,fiber,13.5,3.199831706730096e-05,0.00025299999999999997,0.00805962,1.3723662265278123e-13,2.3057909839596436e-08,1.3723662265278123e-13,0.30302881797845765,984,500
67,film,13.5,0.00010288581745442914,0.011175,0.0016369400000000001,4.561998591270485e-12,3.1191041153792945e-07,4.561998591270485e-12,0.30156158654011833,933,500
68,film,13.5,0.000326420948159519,0.005678,6.633e-05,1.456876289135979e-10,4.741287283213488e-06,1.456876289135979e-10,0.19968922859110605,894,500
69,fiber,13.5,3.134061157371832e-05,8.499999999999999e-05,0.007696000000000001,1.289469309850967e-13,1.7804085440827543e-08,1.289469309850967e-13,0.70207640973834,927,500
70,sphere,13.5,0.00011158944609980722,0.002202,0.00256486,5.820468924795266e-12,1.564790164722931e-07,5.820468924795266e-12,0.8,893,500
